samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem
mgm4713017,anaerobic bioreactor,waste water,wastewater|sludge,NA,J6_L006_R2,metagenetic insight into start-up of Anammox reactor,metagenome,WGS,NA,China,39.5,116.2,marine oxygen minimum zone,mgp19392,free-living,reactor_sludge,freshwater,wastewater
mgm4713020,anaerobic bioreactor,waste water,wastewater|sludge,NA,J1_L006_R2,metagenetic insight into start-up of Anammox reactor,metagenome,WGS,NA,China,39.5,116.2,marine oxygen minimum zone,mgp19392,free-living,reactor_sludge,freshwater,wastewater
mgm4713021,anaerobic bioreactor,waste water,wastewater|sludge,NA,J6_L006_R1,metagenetic insight into start-up of Anammox reactor,metagenome,WGS,NA,China,39.5,116.2,marine oxygen minimum zone,mgp19392,free-living,reactor_sludge,freshwater,wastewater
mgm4713022,anaerobic bioreactor,waste water,wastewater|sludge,NA,J3_L006_R2,metagenetic insight into start-up of Anammox reactor,metagenome,WGS,NA,China,39.5,116.2,marine oxygen minimum zone,mgp19392,free-living,reactor_sludge,freshwater,wastewater
mgm4713025,anaerobic bioreactor,waste water,wastewater|sludge,NA,J8_L006_R2,metagenetic insight into start-up of Anammox reactor,metagenome,WGS,NA,China,39.5,116.2,marine oxygen minimum zone,mgp19392,free-living,reactor_sludge,freshwater,wastewater
mgm4713028,anaerobic bioreactor,waste water,wastewater|sludge,NA,J8_L006_R1,metagenetic insight into start-up of Anammox reactor,metagenome,WGS,NA,China,39.5,116.2,marine oxygen minimum zone,mgp19392,free-living,reactor_sludge,freshwater,wastewater
mgm4713031,anaerobic bioreactor,waste water,wastewater|sludge,NA,J3_L006_R1,metagenetic insight into start-up of Anammox reactor,metagenome,WGS,NA,China,39.5,116.2,marine oxygen minimum zone,mgp19392,free-living,reactor_sludge,freshwater,wastewater
mgm4713033,anaerobic bioreactor,waste water,wastewater|sludge,NA,J1_L006_R1,metagenetic insight into start-up of Anammox reactor,metagenome,WGS,NA,China,39.5,116.2,marine oxygen minimum zone,mgp19392,free-living,reactor_sludge,freshwater,wastewater
mgm4713035,anaerobic bioreactor,waste water,wastewater|sludge,NA,J5_L006_R2,metagenetic insight into start-up of Anammox reactor,metagenome,WGS,NA,China,39.5,116.2,marine oxygen minimum zone,mgp19392,free-living,reactor_sludge,freshwater,wastewater
mgm4713037,anaerobic bioreactor,waste water,wastewater|sludge,NA,J5_L006_R1,metagenetic insight into start-up of Anammox reactor,metagenome,WGS,NA,China,39.5,116.2,marine oxygen minimum zone,mgp19392,free-living,reactor_sludge,freshwater,wastewater
