sample;file_size_in_bytes;total_reads;GC_content;read_mean_lenght;total_base_pairs;read_size_std;maximum_read_size;minimum_read_size
mgm4546120;6091519;18207;0.5563710950681318;275.7250508046356;5020126;101.36717760782219;487;50
mgm4441347;11130608;41452;0.16554582358735276;227.16093312747273;9416275;142.50482806680535;3874;94
mgm4537983;41779969;181053;0.5014315407393937;207.80351057425173;37623449;92.03687282780618;766;50
mgm4749366;209227016;1090375;0.5448943848101759;144.60894829760403;157677982;67.56144612424754;301;50
mgm4443316;36598986;128389;0.403958372890395;246.4135323119582;31636787;37.9940166230154;347;112
mgm4563763;7987984;49400;0.4678174023107906;100.78748987854252;4978902;0.46424749383345326;101;78
mgm4665263;1899561364;8983608;0.4551248966010753;167.47472196026362;1504527252;49.46781262500339;294;50
mgm4554763;5850703;22498;0.6206225390601169;202.53773668770557;4556694;107.58939176818065;559;50
mgm4440055;5290045;47867;0.574456668124327;99.51200200555706;4763341;8.559770355220714;121;75
mgm4562562;1978210;9002;0.5055621340384214;149.81926238613642;1348673;1.8232686873990944;150;116
ERR2136696;134003109;597868;0.38996478804585566;150.12373634313929;89754178;4.40609690129025;151;50
mgm4534773;3162990;11398;0.0;163.47341638884015;1863270;18.923022930469163;201;109
mgm4675678;1130829148;7365706;0.5183755170797035;100.03696644965194;736842884;6.3509475374273485;192;50
mgm4440036;9538399;79170;0.3760401366715696;109.30947328533536;8654031;11.572748096957067;139;77
mgm4570603;1271245;3822;0.5641272230983749;274.2394034536892;1048143;105.43010224747388;580;50
mgm4441102;105733844;85373;0.3847879162828317;801.4399166012673;68421330;276.39986765371714;2994;110
SRR1534387;13468662757;78902880;0.4801709118982834;99.03177211021955;7813892031;3.75722108050222;100;50
mgm4440939;34765003;25199;0.0;1342.7468153498155;33835877;973.5853986986558;16490;92
mgm4689127;2599312054;12981083;0.44546102457871295;156.25349017489526;2028339525;45.22180628785408;294;50
mgm4482714;5454954382;37608568;0.45226936272564544;101.00000268555824;3798465469;2.6855582436501825e-06;101;101
