"samples","level_1","level_2","level_3","PI_firstname","PI_lastname","bp_count_raw","Gigabytes","latitude","longitude","Country","PubName","clust_dist","State","metagenome_id","project_id","project_name","seq_meth","doi","collect_date"
"DRR125227","free-living","groundwater","Porous Contaminated","Masao","Fukuda","4803585400","3.01",34.41,135.31,"Japan","A01",1,"Osaka","DRR125227","PRJDB6771","Multi-omics analysis of bioaugmentation with Rhodococcus jostii RHA1","illumina",,"22-10-2015"
"ERR2108715","free-living","groundwater","Karst-Porous","Eugene","Madsen","2268570848","1.19",43.292222,-73.604444,"USA","B01",2,"NY","ERR2108715","PRJEB22302","Tracking carbon-flow from naphthalene degrading bacteria in coal-tar contaminated surface sediments and groundwater.","illumina",,"07-08-2011"
"ERR2136696","free-living","groundwater","Mine","-","It�vaara","183.5Mbp","0.072",63.659,26.046,"Finland","C01",3,"Pyhäjärvi","ERR2136696","PRJEB22782","DeepHotMicrobe","illumina",,"26-04-2016"
"ERR2136697","free-living","groundwater","Mine","-","It�vaara","108.0Mbp","0.043",63.659,26.046,"Finland","C02",3,"Pyhäjärvi","ERR2136697","PRJEB22782","DeepHotMicrobe","illumina",,"26-04-2016"
"ERR2191545","free-living","groundwater","Subsurface saline","-","Dopson","161Gbp","8.99",57.434,16.66,"Sweden","D01",4,"Fifeholm","ERR2191545","PRJEB10519","Aespoe aquifer metagenome","illumina",,"16-04-2008"
"ERR2191546","free-living","groundwater","Subsurface saline","-","Dopson","169Gbp","9.48",57.434,16.66,"Sweden","D02",4,"Fifeholm","ERR2191546","PRJEB10519","Aespoe aquifer metagenome","illumina",,"27-03-2007"
"mgm4441834","free-living","groundwater","Porous","folker","meyer","58033228","-",39.538602,-107.723908,"USA","E01",5,"Colorado","mgm4441834","mgp119","subsurface rifle","454",,"01-01-2007"
"mgm4441835","free-living","groundwater","Porous","folker","meyer","47498987","-",39.538602,-107.723908,"USA","E02",5,"Colorado","mgm4441835","mgp119","subsurface rifle","454",,"01-01-2007"
"mgm4442086","free-living","groundwater","Porous","folker","meyer","70244682","-",39.538602,-107.723908,"USA","E03",5,"Colorado","mgm4442086","mgp119","subsurface rifle","454",,"01-01-2007"
"mgm4739174","free-living","groundwater","Karst-Porous","-","Madsen","2070441812","0.213",43.292,-73.604,"USA","B02",2,"NY","mgm4739174","mgp79605","Sip Napthalene in Groundwater","illumina",,"01-01-2007"
"mgm4739175","free-living","groundwater","Karst-Porous","-","Madsen","1920259681","0.825",43.292,-73.604,"USA","B03",2,"NY","mgm4739175","mgp79605","Sip Napthalene in Groundwater","illumina",,"01-01-2007"
"mgm4739176","free-living","groundwater","Karst-Porous","-","Madsen","1365856515","0.517",43.292,-73.604,"USA","B04",2,"NY","mgm4739176","mgp79605","Sip Napthalene in Groundwater","illumina",,"01-01-2007"
"mgm4739177","free-living","groundwater","Karst-Porous","-","Madsen","1960816052","19",43.292,-73.604,"USA","B05",2,"NY","mgm4739177","mgp79605","Sip Napthalene in Groundwater","illumina",,"01-01-2007"
"mgm4739178","free-living","groundwater","Karst-Porous","-","Madsen","1632232900","0.121",43.292,-73.604,"USA","B06",2,"NY","mgm4739178","mgp79605","Sip Napthalene in Groundwater","illumina",,"01-01-2007"
"mgm4739179","free-living","groundwater","Karst-Porous","-","Madsen","1848538929","0.459",43.292,-73.604,"USA","B07",2,"NY","mgm4739179","mgp79605","Sip Napthalene in Groundwater","illumina",,"01-01-2007"
"mgm4739180","free-living","groundwater","Karst-Porous","-","Madsen","29705681259","0.272",43.292,-73.604,"USA","B08",2,"NY","mgm4739180","mgp79605","Sip Napthalene in Groundwater","illumina",,"01-01-2007"
"mgm4739181","free-living","groundwater","Karst-Porous","-","Madsen","2174037690","0.771",43.292,-73.604,"USA","B09",2,"NY","mgm4739181","mgp79605","Sip Napthalene in Groundwater","illumina",,"01-01-2007"
"mgm4739182","free-living","groundwater","Karst-Porous","-","Madsen","1854668124","0.999",43.292,-73.604,"USA","B10",2,"NY","mgm4739182","mgp79605","Sip Napthalene in Groundwater","illumina",,"01-01-2007"
"mgm4739183","free-living","groundwater","Karst-Porous","-","Madsen","30651469192","0.289",43.292,-73.604,"USA","B11",2,"NY","mgm4739183","mgp79605","Sip Napthalene in Groundwater","illumina",,"01-01-2007"
"mgm4739184","free-living","groundwater","Karst-Porous","-","Madsen","1937429216","0.247",43.292,-73.604,"USA","B12",2,"NY","mgm4739184","mgp79605","Sip Napthalene in Groundwater","illumina",,"01-01-2007"
"mgm4739185","free-living","groundwater","Karst-Porous","-","Madsen","1878441989","0.865",43.292,-73.604,"USA","B13",2,"NY","mgm4739185","mgp79605","Sip Napthalene in Groundwater","illumina",,"01-01-2007"
"mgm4739186","free-living","groundwater","Karst-Porous","-","Madsen","2356200628","0.943",43.292,-73.604,"USA","B14",2,"NY","mgm4739186","mgp79605","Sip Napthalene in Groundwater","illumina",,"01-01-2007"
"mgm4739187","free-living","groundwater","Karst-Porous","-","Madsen","30150388807","0.281",43.292,-73.604,"USA","B15",2,"NY","mgm4739187","mgp79605","Sip Napthalene in Groundwater","illumina",,"01-01-2007"
"mgm4739188","free-living","groundwater","Karst-Porous","-","Madsen","2121786915","0.371",43.292,-73.604,"USA","B16",2,"NY","mgm4739188","mgp79605","Sip Napthalene in Groundwater","illumina",,"01-01-2007"
"mgm4739189","free-living","groundwater","Karst-Porous","-","Madsen","2266066821","0.898",43.292,-73.604,"USA","B17",2,"NY","mgm4739189","mgp79605","Sip Napthalene in Groundwater","illumina",,"01-01-2007"
"SRR1556897","free-living","groundwater","Geyser","-","Emerson","2.0Gbp","1.14",38.938,-110.135,"USA","F01",6,"Utah","SRR1556897","PRJNA229517","Crystal Geyser Metagenome","illumina",,"08-11-2009"
"SRR1573679","free-living","groundwater","Porous Contaminated","-","Zhou","2436664090","1.45",36.12,-84.25,"USA","G01",7,"Tennessee","SRR1573679","PRJNA258175","Oak Ridge Integrated Field Research Challenge (OR-IFRC) Metagenomes","illumina",,"07-01-2005"
"SRR1573952","free-living","groundwater","Porous Contaminated","-","Zhou","12982100760","8.59",35.94,-84.34,"USA","H01",8,"Tennessee","SRR1573952","PRJNA258175","Oak Ridge Integrated Field Research Challenge (OR-IFRC) Metagenomes","illumina",,"07-01-2005"
"SRR1573955","free-living","groundwater","Porous Contaminated","-","Zhou","1633055303","0.972",35.94,-84.34,"USA","H02",8,"Tennessee","SRR1573955","PRJNA258175","Oak Ridge Integrated Field Research Challenge (OR-IFRC) Metagenomes","illumina",,"07-01-2005"
"SRR1573960","free-living","groundwater","Porous Contaminated","-","Zhou","1870638887","1.01",35.94,-84.34,"USA","H03",8,"Tennessee","SRR1573960","PRJNA258175","Oak Ridge Integrated Field Research Challenge (OR-IFRC) Metagenomes","illumina",,"07-01-2005"
