"sample","file_size_in_bytes","total_reads","GC_content","read_mean_lenght","total_base_pairs","read_size_std","maximum_read_size","minimum_read_size"
"mgm4546120",6091519,18207,0.556371095068132,275.725050804636,5020126,101.367177607822,487,50
"mgm4441347",11130608,41452,0.165545823587353,227.160933127473,9416275,142.504828066805,3874,94
"mgm4537983",41779969,181053,0.501431540739394,207.803510574252,37623449,92.0368728278062,766,50
"mgm4749366",209227016,1090375,0.544894384810176,144.608948297604,157677982,67.5614461242475,301,50
"mgm4443316",36598986,128389,0.403958372890395,246.413532311958,31636787,37.9940166230154,347,112
"mgm4563763",7987984,49400,0.467817402310791,100.787489878543,4978902,0.464247493833453,101,78
"mgm4665263",1899561364,8983608,0.455124896601075,167.474721960264,1504527252,49.4678126250034,294,50
"mgm4554763",5850703,22498,0.620622539060117,202.537736687706,4556694,107.589391768181,559,50
"mgm4440055",5290045,47867,0.574456668124327,99.5120020055571,4763341,8.55977035522071,121,75
"mgm4562562",1978210,9002,0.505562134038421,149.819262386136,1348673,1.82326868739909,150,116
"ERR2136696",134003109,597868,0.389964788045856,150.123736343139,89754178,4.40609690129025,151,50
"mgm4534773",3162990,11398,0,163.47341638884,1863270,18.9230229304692,201,109
"mgm4675678",1130829148,7365706,0.518375517079704,100.036966449652,736842884,6.35094753742735,192,50
"mgm4440036",9538399,79170,0.37604013667157,109.309473285335,8654031,11.5727480969571,139,77
"mgm4570603",1271245,3822,0.564127223098375,274.239403453689,1048143,105.430102247474,580,50
"SRR1534387",13468662757,78902880,0.480170911898283,99.0317721102195,7813892031,3.75722108050222,100,50
"mgm4689127",2599312054,12981083,0.445461024578713,156.253490174895,2028339525,45.2218062878541,294,50
"mgm4482714",5454954382,37608568,0.452269362725645,101.000002685558,3798465469,2.68555824365018e-06,101,101
"mgm4441205",123417515,464811,0,243.964471580922,113397370,93.4310163167066,12888,50
"mgm4566569",785900332,2353242,0.441689521119114,242.570675689113,570827502,107.441246262339,792,50
"mgm4440984",16051982,61112,0,242.115198324388,14796144,21.5597848253738,319,145
"mgm4440370",3707898,32118,0.432967843741907,103.389376673516,3320660,10.6937153103186,130,73
"mgm4440212",53258733,180783,0.398898252973349,239.092707832042,43223897,43.4004103013158,347,105
"mgm4532935",7735542,24989,0.455526673568369,250.985753731642,6271883,0.204860594877484,251,243
"mgm4441621",119537352,593792,0.619712583645608,100.727896300388,59811419,9.21383728477607,124,73
"mgm4451033",71335004,228304,0.564120945460871,232.108316104843,52991257,103.69644722309,457,50
"mgm4754624",411296353,2449232,0.548595310837602,119.129723521496,291776331,33.0683862543913,242,50
"mgm4440026",3798222,27832,0.397527128774288,84.3356927277953,2347231,16.565927742943,116,50
"mgm4446406",24538678,60349,0.452825116912738,324.743574872823,19597950,117.937875829907,563,60
"mgm4533635",181009876,583530,0.582274245311072,253.90623618323,148161906,39.0424934141449,344,158
"DRR125227",2912548839,16955961,0.570038233423191,99.7400165051099,1691187830,2.64579086180378,100,50
"mgm4552685",33416701,110602,0.443688676964814,266.047838194608,29425423,169.352211566937,3625,109
"mgm4440090",11508728,101735,0.438428762457002,101.021801739814,10277453,17.0861876993792,140,59
"mgm4559920",160143106,609370,0.451960776493982,222.408784482334,135529241,38.6922579236938,252,108
"mgm4618470",241331533,646861,0.687626080700645,321.671963528486,208077048,111.505018749082,494,50
"mgm4441834",55238754,178752,0.470515836190122,253.262150912997,45271116,28.1584861942401,342,138
"mgm4537095",9545577,43103,0.46613133504329,164.187736352458,7076984,15.2949036246898,207,50
"mgm4537096",16310422,73262,0.470354044135016,165.266522890448,12107756,14.5100345945678,207,50
"mgm4537097",6461307,28971,0.46882755135278,165.420213316765,4792389,13.9936922068971,208,50
"mgm4537099",9125983,41342,0.484217343817357,163.618692854724,6764324,16.4538526970986,208,50
"mgm4537863",666194566,3034836,0.475295767438874,167.938945630011,509667158,8.72181245875204,186,145
"mgm4537864",50661278,237378,0.503340411290809,161.802879795095,38408444,8.39120301522117,181,141
"mgm4537868",184740935,872350,0.590281354391807,160.293430389179,139831974,9.68616766311196,180,138
"mgm4537869",51310267,239879,0.495740723880857,162.32135785125,38937485,8.38388470352077,181,141
"mgm4545477",4632956,22129,0.530052307416017,157.519047403859,3485739,14.0229017894378,213,108
"mgm4545478",34386140,156720,0.479127113104195,167.72306661562,26285559,16.0269203044561,214,107
"mgm4545480",18095064,82295,0.532432376480181,167.870077161431,13814868,15.4473651495309,214,108
"mgm4569549",72643209,377315,0.629522552536737,134.724492797795,50833572,23.7724541874326,150,50
"mgm4569550",14277896,72080,0.550419819472565,139.795699223085,10076474,20.4976089372945,150,50
