"samples","life_style","biosphere","ecosystem","habitat","country","project_name","latitude","longitude","PI_lastname","seq_meth","project_id"
"mgm4502540","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011",39.59845,-89.7643667,"hartman","illumina","mgp2076"
"mgm4502541","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011",39.5997833,-89.7643667,"hartman","illumina","mgp2076"
"mgm4502542","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011",39.5997833,-89.7643667,"hartman","illumina","mgp2076"
"mgm4502929","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",38.1986167,-89.6272,"hartman","illumina","mgp2205"
"mgm4520300","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00934,-72.49418,"gilbert","illumina","mgp4184"
"mgm4520301","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00934,-72.49418,"gilbert","illumina","mgp4184"
"mgm4520302","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00942,-72.49433,"gilbert","illumina","mgp4184"
"mgm4520303","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00942,-72.49433,"gilbert","illumina","mgp4184"
"mgm4520304","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02531,-72.46175,"gilbert","illumina","mgp4184"
"mgm4520305","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02531,-72.46175,"gilbert","illumina","mgp4184"
"mgm4520306","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02556,-72.46173,"gilbert","illumina","mgp4184"
"mgm4520307","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02556,-72.46173,"gilbert","illumina","mgp4184"
"mgm4520308","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01507,-72.52865,"gilbert","illumina","mgp4184"
"mgm4520309","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01507,-72.52865,"gilbert","illumina","mgp4184"
"mgm4520310","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02536,-72.46175,"gilbert","illumina","mgp4184"
"mgm4520311","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.02536,-72.46175,"gilbert","illumina","mgp4184"
"mgm4520312","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.0144,-72.52841,"gilbert","illumina","mgp4184"
"mgm4520313","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.0144,-72.52841,"gilbert","illumina","mgp4184"
"mgm4520314","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01493,-72.52853,"gilbert","illumina","mgp4184"
"mgm4520315","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01493,-72.52853,"gilbert","illumina","mgp4184"
"mgm4520316","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.0428,-72.52833,"gilbert","illumina","mgp4184"
"mgm4520317","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.0428,-72.52833,"gilbert","illumina","mgp4184"
"mgm4520318","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01504,-72.52848,"gilbert","illumina","mgp4184"
"mgm4520320","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01505,-72.52848,"gilbert","illumina","mgp4184"
"mgm4520321","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01505,-72.52848,"gilbert","illumina","mgp4184"
"mgm4520322","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01512,-72.5286,"gilbert","illumina","mgp4184"
"mgm4520323","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01512,-72.5286,"gilbert","illumina","mgp4184"
"mgm4520324","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01506,-72.52854,"gilbert","illumina","mgp4184"
"mgm4520325","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01506,-72.52854,"gilbert","illumina","mgp4184"
"mgm4520326","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01526,-72.52811,"gilbert","illumina","mgp4184"
"mgm4520327","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01526,-72.52811,"gilbert","illumina","mgp4184"
"mgm4520328","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00945,-72.4943,"gilbert","illumina","mgp4184"
"mgm4520329","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00945,-72.4943,"gilbert","illumina","mgp4184"
"mgm4520330","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01446,-72.52847,"gilbert","illumina","mgp4184"
"mgm4520331","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01446,-72.52847,"gilbert","illumina","mgp4184"
"mgm4520332","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01522,-72.52805,"gilbert","illumina","mgp4184"
"mgm4520333","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01522,-72.52805,"gilbert","illumina","mgp4184"
"mgm4520334","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00938,-72.49425,"gilbert","illumina","mgp4184"
"mgm4520335","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00938,-72.49425,"gilbert","illumina","mgp4184"
"mgm4520336","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01534,-72.52817,"gilbert","illumina","mgp4184"
"mgm4520337","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01534,-72.52817,"gilbert","illumina","mgp4184"
"mgm4520338","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01463,-72.52848,"gilbert","illumina","mgp4184"
"mgm4520339","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01463,-72.52848,"gilbert","illumina","mgp4184"
"mgm4520340","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01023,-72.53063,"gilbert","illumina","mgp4184"
"mgm4520341","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01023,-72.53063,"gilbert","illumina","mgp4184"
"mgm4520342","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01502,-72.52851,"gilbert","illumina","mgp4184"
"mgm4520343","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01502,-72.52851,"gilbert","illumina","mgp4184"
"mgm4520344","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.015,-72.52847,"gilbert","illumina","mgp4184"
"mgm4520345","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.015,-72.52847,"gilbert","illumina","mgp4184"
"mgm4520346","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00943,-72.49429,"gilbert","illumina","mgp4184"
"mgm4520347","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.00943,-72.49429,"gilbert","illumina","mgp4184"
"mgm4520348","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.06277,-72.45041,"gilbert","illumina","mgp4184"
