"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4445728","human-associated habitat","human-associated habitat","human-associated habitat","human-associated",NA,"PhagesSub1Day1","Saliva Virome","metagenome","WGS","north_america","United States of America",14,-14,"mgp476"
"mgm4445729","human-associated habitat","human-associated habitat","human-associated habitat","human-associated",NA,"PhagesSub1Day30","Saliva Virome","metagenome","WGS","north_america","United States of America",32.9,-117.2,"mgp475"
"mgm4445730","human-associated habitat","human-associated habitat","human-associated habitat","human-associated",NA,"PhagesSub1Day90","Saliva Virome","metagenome","WGS","north_america","United States of America",32.9,-117.2,"mgp463"
"mgm4445731","human-associated habitat","human-associated habitat","human-associated habitat","human-associated",NA,"PhagesSub2Day1","Saliva Virome","metagenome","WGS","north_america","United States of America",32.9,-117.2,"mgp474"
"mgm4445734","human-associated habitat","human-associated habitat","human-associated habitat","human-associated",NA,"PhagesSub2Day90","Saliva Virome","metagenome","WGS","north_america","United States of America",15,-15,"mgp577"
"mgm4445735","human-associated habitat","human-associated habitat","human-associated habitat","human-associated",NA,"PhagesSub5Day1","Saliva Virome","metagenome","WGS","north_america","United States of America",32.9,-117.2,"mgp485"
"mgm4445736","human-associated habitat","human-associated habitat","human-associated habitat","human-associated",NA,"PhagesSub3Day30","Saliva Virome","metagenome","WGS","north_america","United States of America",32.9,-117.2,"mgp486"
"mgm4445737","human-associated habitat","human-associated habitat","human-associated habitat","human-associated",NA,"PhagesSub3Day90","Saliva Virome","metagenome","WGS","north_america","United States of America",32.9,-117.2,"mgp578"
"mgm4446075","human-associated habitat","human-associated habitat","human-associated habitat","human-associated",NA,"NewPhagesSub2Day30","Saliva Virome","metagenome","WGS","north_america","United States of America",32.9,-117.2,"mgp484"
"mgm4446120","human-associated habitat","human-associated habitat","human-associated habitat","human-associated",NA,"5-1","Saliva Virome","metagenome","WGS","north_america","United States of America",32.9,-117.2,"mgp483"
"mgm4446121","human-associated habitat","human-associated habitat","human-associated habitat","human-associated",NA,"5-10","Saliva Virome","metagenome","WGS","north_america","United States of America",32.9,-117.2,"mgp482"
"mgm4446122","human-associated habitat","human-associated habitat","human-associated habitat","human-associated",NA,"5-13","Saliva Virome","metagenome","WGS","north_america","United States of America",32.9,-117.2,"mgp481"
"mgm4446124","human-associated habitat","human-associated habitat","human-associated habitat","human-associated",NA,"6-1","Saliva Virome","metagenome","WGS","north_america","United States of America",32.9,-117.2,"mgp479"
"mgm4446125","human-associated habitat","human-associated habitat","human-associated habitat","human-associated",NA,"6-10","Saliva Virome","metagenome","WGS","north_america","United States of America",32.9,-117.2,"mgp478"
"mgm4446126","human-associated habitat","human-associated habitat","human-associated habitat","human-associated",NA,"6-13","Saliva Virome","metagenome","WGS","north_america","United States of America",14,-14,"mgp477"
"mgm4447101","human-associated habitat","human-associated habitat","human-associated habitat","human-oral","human oral","CA1_02P","The oral metagenome in health and disease","metagenome","WGS","europe","Spain",39.481448,0.353066,"mgp128"
"mgm4447102","human-associated habitat","human-associated habitat","human-associated habitat","human-oral","human oral","NOCA_03P","The oral metagenome in health and disease","metagenome","WGS","europe","Spain",39.481448,0.353066,"mgp128"
"mgm4447103","human-associated habitat","human-associated habitat","human-associated habitat","human-oral","human oral","CA1_01P","The oral metagenome in health and disease","metagenome","WGS","europe","Spain",39.481448,0.353066,"mgp128"
"mgm4447192","human-associated habitat","human-associated habitat","human-associated habitat","human-oral","human oral","NOCA_01P","The oral metagenome in health and disease","metagenome","WGS","europe","Spain",39.481448,0.353066,"mgp128"
"mgm4447903","human-associated habitat","human-associated habitat","human-associated habitat","human-oral","human oral","CA_06P","The oral metagenome in health and disease","metagenome","WGS","europe","Spain",39.481448,0.353066,"mgp128"
"mgm4447943","human-associated habitat","human-associated habitat","human-associated habitat","human-oral","human oral","CA_04P","The oral metagenome in health and disease","metagenome","WGS","europe","Spain",39.481448,0.353066,"mgp128"
"mgm4447970","human-associated habitat","human-associated habitat","human-associated habitat","human-oral","human oral","CA_05_4.6","The oral metagenome in health and disease","metagenome","WGS","europe","Spain",39.481448,0.353066,"mgp128"
"mgm4447971","human-associated habitat","human-associated habitat","human-associated habitat","human-oral","human oral","CA_06_1.6","The oral metagenome in health and disease","metagenome","WGS","europe","Spain",39.481448,0.353066,"mgp128"
"mgm4477823","human-associated habitat","human-associated habitat","human-associated habitat","human-oral",NA,"Salivary Metagenome WGS_R","Salivary metagenome","metagenome","WGS","europe","Switzerland",46.19,6.15,"mgp595"
"mgm4477824","human-associated habitat","human-associated habitat","human-associated habitat","human-oral",NA,"Salivary Metagenome WGS_F","Salivary metagenome","metagenome","WGS","europe","Switzerland",46.19,6.15,"mgp594"
