"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4467420","aquatic biome","wastewater treatment plant","waste water","wastewater|sludge",NA,"Stanley AS DNA -2","Stanley WWTP activated sludge sample","metagenome","WGS","asia","Hong Kong",22.21,114.22,"mgp3718"
"mgm4487624","aquatic biome","ocean","water","water",NA,"GS7","Kueishantao metagenomes","metagenome","WGS",NA,"China",24.3,121.95,"mgp2955"
"mgm4487625","aquatic biome","ocean","water","water",NA,"GS4","Kueishantao metagenomes","metagenome","WGS",NA,"China",24.3,121.95,"mgp2955"
"mgm4490314","aquatic biome","wastewater treatment plant","water","wastewater|sludge",NA,"Merged_10_ST09-7.fasta","Full-scale activated sludge metagenomes of Shatin WWTP","metagenome","WGS",NA,"Hong Kong",22.3964,114.1095,"mgp439"
"mgm4490316","aquatic biome","wastewater treatment plant","water","wastewater|sludge",NA,"Merged_10_ST08-1.fasta","Full-scale activated sludge metagenomes of Shatin WWTP","metagenome","WGS",NA,"Hong Kong",22.3964,114.1095,"mgp439"
"mgm4491214","aquatic biome","wastewater treatment plant","water","wastewater|sludge",NA,"Merged_10_ST08-7.fasta","Full-scale activated sludge metagenomes of Shatin WWTP","metagenome","WGS",NA,"Hong Kong",22.3964,114.1095,"mgp439"
"mgm4491220","aquatic biome","wastewater treatment plant","water","wastewater|sludge",NA,"Merged_10_ST09-1.fasta","Full-scale activated sludge metagenomes of Shatin WWTP","metagenome","WGS",NA,"Hong Kong",22.3964,114.1095,"mgp439"
"mgm4491221","aquatic biome","wastewater treatment plant","water","wastewater|sludge",NA,"Merged_10_ST10-1.fasta","Full-scale activated sludge metagenomes of Shatin WWTP","metagenome","WGS",NA,"Hong Kong",22.3964,114.1095,"mgp439"
"mgm4491222","aquatic biome","wastewater treatment plant","water","wastewater|sludge",NA,"Merged_10_ST10-7.fasta","Full-scale activated sludge metagenomes of Shatin WWTP","metagenome","WGS",NA,"Hong Kong",22.3964,114.1095,"mgp439"
"mgm4491567","aquatic biome","wastewater treatment plant","water","wastewater|sludge",NA,"Merged_10_ST11-1","Full-scale activated sludge metagenomes of Shatin WWTP","metagenome","WGS",NA,"Hong Kong",22.3964,114.1095,"mgp439"
