"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4440026","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-associated","human lung","CFLungPat001Rep1SDVir20060505","Human Lung Healthy vs Cystic Fibrosis Metagenome","metagenome","WGS","north_america","United States of America",32.8781,-117.1072,"mgp31"
"mgm4440051","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-associated","human lung","CFLungPat001Rep2SDVir20060505","Human Lung Healthy vs Cystic Fibrosis Metagenome","metagenome","WGS","north_america","United States of America",32.8781,-117.1072,"mgp31"
"mgm4440370","animal-associated habitat","animal-associated habitat","animal-associated habitat","host-associated",NA,"DOCPorCompVirHaw200602","Stressed Coral Holobionts","metagenome","WGS","north_america","United States of America",21.434,-157.7878,"mgp16"
"mgm4440371","animal-associated habitat","animal-associated habitat","animal-associated habitat","host-associated",NA,"pHPorCompHawVir200602","Stressed Coral Holobionts","metagenome","WGS","north_america","United States of America",21.434,-157.7878,"mgp16"
"mgm4440374","animal-associated habitat","animal-associated habitat","animal-associated habitat","host-associated",NA,"ConPorCompHawVir200602","Stressed Coral Holobionts","metagenome","WGS","north_america","United States of America",21.434,-157.7878,"mgp16"
"mgm4440375","animal-associated habitat","animal-associated habitat","animal-associated habitat","host-associated",NA,"TempPorCompHawVir200602","Stressed Coral Holobionts","metagenome","WGS","north_america","United States of America",21.434,-157.7878,"mgp16"
"mgm4440376","animal-associated habitat","animal-associated habitat","animal-associated habitat","host-associated",NA,"T0PortComHawVir20060223","Stressed Coral Holobionts","metagenome","WGS","north_america","United States of America",21.434,-157.7878,"mgp16"
"mgm4440377","animal-associated habitat","animal-associated habitat","animal-associated habitat","host-associated",NA,"NutPorCompHawVir200602","Stressed Coral Holobionts","metagenome","WGS","north_america","United States of America",21.434,-157.7878,"mgp16"
"mgm4440380","animal-associated habitat","animal-associated habitat","animal-associated habitat","host-associated",NA,"T0PortComHawMic20060223","Stressed Coral Holobionts","metagenome","WGS","north_america","United States of America",21.434,-157.7878,"mgp16"
"mgm4440441","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-associated","human lung","CFLungPat001Rep3SDVir20060505","Human Lung Healthy vs Cystic Fibrosis Metagenome","metagenome","WGS","north_america","United States of America",32.8781,-117.1072,"mgp31"
"mgm4440939","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-gut",NA,"human F1-S","Human Faeces - Kurokawa","metagenome","WGS","asia","Japan",35.7134,139.7623,"mgp29"
"mgm4440940","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-gut",NA,"human F1-U","Human Faeces - Kurokawa","metagenome","WGS","asia","Japan",35.7134,139.7623,"mgp29"
"mgm4440941","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-gut",NA,"human F1-T","Human Faeces - Kurokawa","metagenome","WGS","asia","Japan",35.7134,139.7623,"mgp29"
"mgm4440942","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-gut",NA,"human F2-V","Human Faeces - Kurokawa","metagenome","WGS","asia","Japan",35.7134,139.7623,"mgp29"
"mgm4440943","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-gut",NA,"human F2-W","Human Faeces - Kurokawa","metagenome","WGS","asia","Japan",35.7134,139.7623,"mgp29"
"mgm4440944","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-gut",NA,"human F2-X","Human Faeces - Kurokawa","metagenome","WGS","asia","Japan",35.7134,139.7623,"mgp29"
"mgm4440945","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-gut",NA,"human In-B","Human Faeces - Kurokawa","metagenome","WGS","asia","Japan",35.7134,139.7623,"mgp29"
"mgm4440946","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-gut",NA,"human In-A","Human Faeces - Kurokawa","metagenome","WGS","asia","Japan",35.7134,139.7623,"mgp29"
"mgm4440947","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-gut",NA,"human F2-Y","Human Faeces - Kurokawa","metagenome","WGS","asia","Japan",35.7134,139.7623,"mgp29"
"mgm4440948","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-gut",NA,"human In-D","Human Faeces - Kurokawa","metagenome","WGS","asia","Japan",35.7134,139.7623,"mgp29"
"mgm4440949","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-gut",NA,"human In-M","Human Faeces - Kurokawa","metagenome","WGS","asia","Japan",35.7134,139.7623,"mgp29"
"mgm4440950","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-gut",NA,"human In-E","Human Faeces - Kurokawa","metagenome","WGS","asia","Japan",35.7134,139.7623,"mgp29"
"mgm4444195","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-oral",NA,"FXPY","Human Oropharyngeal Metagenome","metagenome","WGS","north_america","United States of America",32.7729,-117.0717,"mgp32"
"mgm4444196","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-oral",NA,"FYGT","Human Oropharyngeal Metagenome","metagenome","WGS","north_america","United States of America",32.7729,-117.0717,"mgp32"
"mgm4535626","animal-associated habitat","animal-associated habitat","feces","host-associated",NA,"Spare2_1","LCM mouse microbiota metagenome","metagenome","WGS","europe","Switzerland",47.24,8.3,"mgp5902"
"mgm4535627","animal-associated habitat","animal-associated habitat","feces","host-associated",NA,"Spare2_2","LCM mouse microbiota metagenome","metagenome","WGS","europe","Switzerland",47.24,8.3,"mgp5902"
"mgm4440026","animal-associated habitat","animal-associated habitat","animal-associated habitat","human-associated","human lung","CFLungPat001Rep1SDVir20060505","Human Lung Healthy vs Cystic Fibrosis Metagenome","metagenome","WGS","north_america","United States of America",32.8781,-117.1072,"mgp31"
