"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4440090","marine biome","saline evaporation pond","saline water","water",NA,"LowSalternPlaSDbay20051122","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"mgp11"
"mgm4440419","marine biome","saline evaporation pond","saline water","water",NA,"HighSalternSDbayMic20051128","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"mgp11"
"mgm4440420","marine biome","saline evaporation pond","saline water","water",NA,"LowSalternSDbayVir20051128","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"mgp11"
"mgm4440421","marine biome","saline evaporation pond","saline water","water",NA,"HighSalternSDbayVir20051116","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"mgp11"
"mgm4440425","marine biome","saline evaporation pond","saline water","water",NA,"MedSalternSDbayMic20051116","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"mgp11"
"mgm4440426","marine biome","saline evaporation pond","saline water","water",NA,"LowSalternSDbayMic20051128","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"mgp11"
"mgm4440428","marine biome","saline evaporation pond","saline water","water",NA,"MedSalternSDbayVir20051116","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"mgp11"
"mgm4440429","marine biome","saline evaporation pond","saline water","water",NA,"HighSalternSDbayMicB200407","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"mgp11"
"mgm4440430","marine biome","saline evaporation pond","saline water","water",NA,"HighSalternSDbayMicA200407","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"mgp11"
"mgm4440432","marine biome","saline evaporation pond","saline water","water",NA,"LowSalternSDbayVir20051110","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"mgp11"
"mgm4440433","marine biome","saline evaporation pond","saline water","water",NA,"HighSalternSDbayMicC200407","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"mgp11"
"mgm4440434","marine biome","saline evaporation pond","saline water","water",NA,"MedSalternSDbayMic20051111","Chula Vista, CA Solar Saltern Study","metagenome","WGS","north america","United States of America",32.6,-117.1072,"mgp11"
