"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4742241","aquatic environment","environmental zone","liquid environmental material","water",NA,"2_113_S4_L001_R1_001","W113 R1","metagenome","WGS",NA,"USA",29.4241,-98.4936,"mgp80124"
"mgm4750430","aquatic environment","environmental zone","waste material","wastewater|sludge",NA,"Inf_712contig","Uganda","metagenome","WGS",NA,"Uganda",0.5,32,"mgp80872"
"mgm4750435","aquatic environment","environmental zone","waste material","wastewater|sludge",NA,"Inf_725contig","Uganda","metagenome","WGS",NA,"Uganda",0.5,32,"mgp80872"
"mgm4751275","aquatic environment","environmental zone","waste material","wastewater|sludge",NA,"Inf_808contig","Uganda","metagenome","WGS",NA,"Uganda",0.5,32,"mgp80872"
"mgm4751277","aquatic environment","environmental zone","liquid environmental material","water",NA,"Swamp_712contig","Uganda","metagenome","WGS",NA,"Uganda",0.5,32,"mgp80872"
"mgm4767525","aquatic environment","environmental zone","liquid environmental material","wastewater|sludge",NA,"ENC","enigmaII","metagenome","WGS",NA,"USA",36.0104,-84.2696,"mgp82534"
"mgm4767527","aquatic environment","environmental zone","liquid environmental material","wastewater|sludge",NA,"DNC","enigmaII","metagenome","WGS",NA,"USA",36.0104,-84.2696,"mgp82534"
"mgm4767528","aquatic environment","environmental zone","liquid environmental material","wastewater|sludge",NA,"CNC","enigmaII","metagenome","WGS",NA,"USA",36.0104,-84.2696,"mgp82534"
"mgm4770402","aquatic environment","sea coast","water","water",NA,"contigs_osd24","Med Atl Contigs","metagenome","WGS",NA,"Morocco",35.6,2.9,"mgp82857"
"mgm4770403","aquatic environment","sea coast","water","water",NA,"contigs_osd91","Med Atl Contigs","metagenome","WGS",NA,"Morocco",32.4,9.02,"mgp82857"
"mgm4773096","aquatic environment","environmental zone","liquid environmental material","wastewater|sludge",NA,"B_clean.non_circular","enigmaX","metagenome","WGS",NA,"USA",36.0104,-84.2696,"mgp83145"
"mgm4773097","aquatic environment","environmental zone","liquid environmental material","wastewater|sludge",NA,"F_clean.non_circular","enigmaX","metagenome","WGS",NA,"USA",36.0104,-84.2696,"mgp83145"
"mgm4773098","aquatic environment","environmental zone","liquid environmental material","wastewater|sludge",NA,"D_clean.non_circular","enigmaX","metagenome","WGS",NA,"USA",36.0104,-84.2696,"mgp83145"
"mgm4773099","aquatic environment","environmental zone","liquid environmental material","wastewater|sludge",NA,"C_clean.non_circular","enigmaX","metagenome","WGS",NA,"USA",36.0104,-84.2696,"mgp83145"
"mgm4773100","aquatic environment","environmental zone","liquid environmental material","wastewater|sludge",NA,"E_clean.non_circular","enigmaX","metagenome","WGS",NA,"USA",36.0104,-84.2696,"mgp83145"
