"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4440984","estuarine biome","marine benthic feature","sandy sediment","sediment",NA,"Australian Coorong lowest salinity murray mouth 36psu M1","Jeffries et al PLoS One","metagenome","WGS",NA,"Australia",35.551,138.88,"mgp358"
"mgm4441020","estuarine biome","marine benthic feature","sandy sediment","sediment",NA,"Australian Coorong medium salinity 105psu M2","Jeffries et al PLoS One","metagenome","WGS",NA,"Australia",35.79,139.31,"mgp358"
"mgm4441021","estuarine biome","marine benthic feature","sandy sediment","sediment",NA,"Australian Coorong medium high salinity 132psu M3","Jeffries et al PLoS One","metagenome","WGS",NA,"Australia",35.938,139.488,"mgp358"
"mgm4441022","estuarine biome","marine benthic feature","sandy sediment","sediment",NA,"Australian Coorong high salinity 136psu M4","Jeffries et al PLoS One","metagenome","WGS",NA,"Australia",36.166,139.651,"mgp358"
"mgm4446341","estuarine biome","marine benthic feature","sandy sediment","sediment",NA,"Point Turton","Jeffries et al PLoS One","metagenome","WGS",NA,"Australia",-34.949,137.354,"mgp358"
"mgm4446342","estuarine biome","marine benthic feature","sandy sediment","sediment",NA,"Port Flinders","Jeffries et al PLoS One","metagenome","WGS",NA,"Australia",33.1025,128.023,"mgp358"
"mgm4446406","estuarine biome","marine pelagic feature","saline water","water",NA,"S1gnew","Jeffries et al PLoS One","metagenome","WGS",NA,"Australia",35.551,138.88,"mgp358"
"mgm4446411","estuarine biome","marine pelagic feature","saline water","water",NA,"S2gnew","Jeffries et al PLoS One","metagenome","WGS",NA,"Australia",36.166,139.651,"mgp358"
"mgm4446412","estuarine biome","marine pelagic feature","saline water","water",NA,"S2ngnew","Jeffries et al PLoS One","metagenome","WGS",NA,"Australia",36.167,140.651,"mgp358"
"mgm4453379","estuarine biome","ocean","coastal water","water",NA,"GB Site 7-1","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.864633,-43.160464,"mgp1929"
"mgm4453380","estuarine biome","ocean","coastal water","water",NA,"GB Site 7-2","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.864633,-43.160464,"mgp1929"
"mgm4453381","estuarine biome","ocean","coastal water","water",NA,"GB Site 34-1","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.830467,-43.246569,"mgp1929"
"mgm4453382","estuarine biome","ocean","coastal water","water",NA,"GB Site 34-2","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.830467,-43.246569,"mgp1929"
"mgm4454502","estuarine biome","ocean","coastal water","water",NA,"AlphaproteobacteriaPt7","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.864633,-43.160464,"mgp1929"
"mgm4454503","estuarine biome","ocean","coastal water","water",NA,"AlphaproteobacteriaPt34","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.830467,-43.246569,"mgp1929"
"mgm4454505","estuarine biome","ocean","coastal water","water",NA,"GammaproteobacteriaPt7","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.864633,-43.160464,"mgp1929"
"mgm4454506","estuarine biome","ocean","coastal water","water",NA,"GammaproteobacteriaPt34","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.830467,-43.246569,"mgp1929"
"mgm4454687","estuarine biome","ocean","coastal water","water",NA,"ActinoPt7","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.864633,-43.160464,"mgp1929"
"mgm4454695","estuarine biome","ocean","coastal water","water",NA,"BacteroidetesChlorobiPt7","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.864633,-43.160464,"mgp1929"
"mgm4454700","estuarine biome","ocean","coastal water","water",NA,"BetaprotPt7","Guanabara Bay Metagenome","metagenome","WGS","south america","Brazil",-22.864633,-43.160464,"mgp1929"
"mgm4460178","estuarine biome","estuarine bulk water","water","water",NA,"Station P1","Puget Sound","metagenome","WGS",NA,"United States of America",48.016667,-122.300556,"mgp2706"
"mgm4460179","estuarine biome","estuarine bulk water","water","water",NA,"Station P26","Puget Sound","metagenome","WGS",NA,"United States of America",48.368056,-122.716667,"mgp2706"
"mgm4460180","estuarine biome","estuarine bulk water","water","water",NA,"Station P28","Puget Sound","metagenome","WGS",NA,"United States of America",47.700556,-122.450556,"mgp2706"
"mgm4460182","estuarine biome","estuarine bulk water","water","water",NA,"Station P32","Puget Sound","metagenome","WGS",NA,"United States of America",47.333333,-122.434722,"mgp2706"
"mgm4460188","estuarine biome","estuarine bulk water","water","water",NA,"Station P5","Puget Sound","metagenome","WGS",NA,"United States of America",47.883333,-122.366667,"mgp2706"
"mgm4460189","estuarine biome","estuarine bulk water","water","water",NA,"Marina","Puget Sound","metagenome","WGS",NA,"United States of America",47.683889,-122.406944,"mgp2706"
"mgm4533700","estuarine biome","estuary","brackish water","water",NA,"PK15_lane5_index23_GAGTGG_002.fastq","Columbia River coastal margin study","metagenome","WGS","north america","USA",46.201,-123.940333,"mgp5692"
"mgm4533701","estuarine biome","estuary","brackish water","water",NA,"PK15_lane4_index23_GAGTGG_002.fastq","Columbia River coastal margin study","metagenome","WGS","north america","USA",46.201,-123.940333,"mgp5692"
"mgm4533702","estuarine biome","estuary","brackish water","water",NA,"PK15_lane5_index23_GAGTGG_003.fastq","Columbia River coastal margin study","metagenome","WGS","north america","USA",46.201,-123.940333,"mgp5692"
"mgm4533703","estuarine biome","estuary","brackish water","water",NA,"PK15_lane4_index23_GAGTGG_003.fastq","Columbia River coastal margin study","metagenome","WGS","north america","USA",46.201,-123.940333,"mgp5692"
"mgm4533704","estuarine biome","estuary","brackish water","water",NA,"PK15_lane5_index23_GAGTGG_001.fastq","Columbia River coastal margin study","metagenome","WGS","north america","USA",46.201,-123.940333,"mgp5692"
"mgm4533705","estuarine biome","estuary","brackish water","water",NA,"PK15_lane4_index23_GAGTGG_001.fastq","Columbia River coastal margin study","metagenome","WGS","north america","USA",46.201,-123.940333,"mgp5692"
"mgm4533706","estuarine biome","estuary","brackish water","water",NA,"PK18_lane4_index19_GTGAAA_004.fastq","Columbia River coastal margin study","metagenome","WGS","north america","USA",46.265,-123.999,"mgp5692"
