"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4573350","marine environment","organic feature","coastal sea water","host-associated",NA,"1T1Wt1r1_merged","kelp fall 2012","metagenome","WGS",NA,"United States of America",32.731993,-117.211432,"mgp5542"
"mgm4573351","marine environment","organic feature","coastal sea water","host-associated",NA,"2T2Wt2r5_merged","kelp fall 2012","metagenome","WGS",NA,"United States of America",32.731993,-117.211432,"mgp5542"
"mgm4573352","marine environment","organic feature","coastal sea water","host-associated",NA,"3T3Wt3r9_merged","kelp fall 2012","metagenome","WGS",NA,"United States of America",32.731993,-117.211432,"mgp5542"
"mgm4573353","marine environment","organic feature","coastal sea water","host-associated",NA,"4T4Wt4r7_merged","kelp fall 2012","metagenome","WGS",NA,"United States of America",32.731993,-117.211432,"mgp5542"
"mgm4573354","marine environment","organic feature","coastal sea water","host-associated",NA,"5T1Wt1r7_merged","kelp fall 2012","metagenome","WGS",NA,"United States of America",32.731993,-117.211432,"mgp5542"
"mgm4573355","marine environment","organic feature","coastal sea water","host-associated",NA,"6T2Wt2r4_merged","kelp fall 2012","metagenome","WGS",NA,"United States of America",32.731993,-117.211432,"mgp5542"
"mgm4573356","marine environment","organic feature","coastal sea water","host-associated",NA,"7T3Wt3r4_merged","kelp fall 2012","metagenome","WGS",NA,"United States of America",32.731993,-117.211432,"mgp5542"
"mgm4573357","marine environment","organic feature","coastal sea water","host-associated",NA,"8T4Wt4r6_merged","kelp fall 2012","metagenome","WGS",NA,"United States of America",32.731993,-117.211432,"mgp5542"
"mgm4573495","marine environment","organic feature","coastal sea water","host-associated",NA,"10T2Wt2r6_merged","kelp fall 2012","metagenome","WGS",NA,"United States of America",32.731993,-117.211432,"mgp5542"
"mgm4573496","marine environment","organic feature","coastal sea water","host-associated",NA,"11T3Wt3r9_merged","kelp fall 2012","metagenome","WGS",NA,"United States of America",32.731993,-117.211432,"mgp5542"
"mgm4573497","marine environment","organic feature","coastal sea water","host-associated",NA,"9T1Wt1r9_merged","kelp fall 2012","metagenome","WGS",NA,"United States of America",32.731993,-117.211432,"mgp5542"
"mgm4573676","marine environment","organic feature","biofilm material","host-associated",NA,"13T3KSt3r3_merged","kelp fall 2012","metagenome","WGS",NA,"United States of America",32.731993,-117.211432,"mgp5542"
"mgm4573677","marine environment","organic feature","biofilm material","host-associated",NA,"14T4KSt4r3_merged","kelp fall 2012","metagenome","WGS",NA,"United States of America",32.731993,-117.211432,"mgp5542"
"mgm4573950","marine environment","organic feature","coastal sea water","host-associated",NA,"12T4Wt4r9_merged","kelp fall 2012","metagenome","WGS",NA,"United States of America",32.731993,-117.211432,"mgp5542"
"mgm4762274","marine environment","bay","water","host-associated",NA,"99RP","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7287166666667,-114.191733333333,"mgp82106"
"mgm4762275","marine environment","bay","water","host-associated",NA,"38HF2","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7743055555556,-114.246416666667,"mgp82106"
"mgm4762276","marine environment","bay","water","host-associated",NA,"16HF2","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7743055555556,-114.246416666667,"mgp82106"
"mgm4762277","marine environment","bay","water","host-associated",NA,"8HF","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7743055555556,-114.246416666667,"mgp82106"
"mgm4762278","marine environment","bay","water","host-associated",NA,"72RP","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7287166666667,-114.191733333333,"mgp82106"
"mgm4762279","marine environment","bay","water","host-associated",NA,"16HF","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7743055555556,-114.246416666667,"mgp82106"
"mgm4762280","marine environment","bay","water","host-associated",NA,"56RP","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7287166666667,-114.191733333333,"mgp82106"
"mgm4762281","marine environment","bay","water","host-associated",NA,"52RP","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7287166666667,-114.191733333333,"mgp82106"
"mgm4762282","marine environment","bay","water","host-associated",NA,"84RP2","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7287166666667,-114.191733333333,"mgp82106"
"mgm4762283","marine environment","bay","water","host-associated",NA,"42HF2","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7743055555556,-114.246416666667,"mgp82106"
"mgm4762284","marine environment","bay","water","host-associated",NA,"99RP2","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7287166666667,-114.191733333333,"mgp82106"
"mgm4762285","marine environment","bay","water","host-associated",NA,"55HF2","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7743055555556,-114.246416666667,"mgp82106"
"mgm4762286","marine environment","bay","water","host-associated",NA,"52RP2","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7287166666667,-114.191733333333,"mgp82106"
"mgm4762287","marine environment","bay","water","host-associated",NA,"82RP2","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7287166666667,-114.191733333333,"mgp82106"
"mgm4762288","marine environment","bay","water","host-associated",NA,"8HF2","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7743055555556,-114.246416666667,"mgp82106"
"mgm4762289","marine environment","bay","water","host-associated",NA,"82RP","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7287166666667,-114.191733333333,"mgp82106"
"mgm4762290","marine environment","bay","water","host-associated",NA,"50HF2","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7743055555556,-114.246416666667,"mgp82106"
"mgm4762291","marine environment","bay","water","host-associated",NA,"69RP","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7287166666667,-114.191733333333,"mgp82106"
"mgm4762292","marine environment","bay","water","host-associated",NA,"57HF2","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7743055555556,-114.246416666667,"mgp82106"
"mgm4762293","marine environment","bay","water","host-associated",NA,"70RP","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7287166666667,-114.191733333333,"mgp82106"
"mgm4762294","marine environment","bay","water","host-associated",NA,"29HF2","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7743055555556,-114.246416666667,"mgp82106"
"mgm4762295","marine environment","bay","water","host-associated",NA,"92RP2","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7287166666667,-114.191733333333,"mgp82106"
"mgm4762296","marine environment","bay","water","host-associated",NA,"56RP2","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7287166666667,-114.191733333333,"mgp82106"
"mgm4762297","marine environment","bay","water","host-associated",NA,"79RP2","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7287166666667,-114.191733333333,"mgp82106"
"mgm4762298","marine environment","bay","water","host-associated",NA,"70RP2","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7287166666667,-114.191733333333,"mgp82106"
"mgm4762299","marine environment","bay","water","host-associated",NA,"79RP","shark_metagenome_analysis_","metagenome","WGS",NA,"Mexico",27.7287166666667,-114.191733333333,"mgp82106"
