"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4612269","wood fall","wood fall","wood","plant-associated",NA,"F3EC_unassembled","FSF","metagenome","WGS","europe","France",42.4666667,3.4666667,"mgp12094"
"mgm4623131","wood fall","saline water aquarium","biofilm material","microbial mat|biofilm",NA,"T1FR1","MICADO","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp5272"
"mgm4623132","wood fall","saline water aquarium","biofilm material","microbial mat|biofilm",NA,"T5FR1","MICADO","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp5272"
"mgm4623133","wood fall","saline water aquarium","biofilm material","microbial mat|biofilm",NA,"T6FR2","MICADO","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp5272"
"mgm4624935","wood fall","wood fall","wood","plant-associated",NA,"T1_500m_ERROR","WINE","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13088"
"mgm4624936","wood fall","wood fall","wood","plant-associated",NA,"T1_N_ERROR","WINE","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13088"
"mgm4624937","wood fall","wood fall","wood","plant-associated",NA,"T1_P_ERROR","WINE","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13088"
"mgm4624938","wood fall","wood fall","wood","plant-associated",NA,"T2_3m_ERROR","WINE","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13088"
"mgm4624939","wood fall","wood fall","wood","plant-associated",NA,"T2_500m_ERROR","WINE","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13088"
"mgm4624940","wood fall","wood fall","wood","plant-associated",NA,"T3_3m_ERROR","WINE","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13088"
"mgm4624941","wood fall","wood fall","wood","plant-associated",NA,"T3_500m_ERROR","WINE","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13088"
"mgm4624942","wood fall","wood fall","wood","plant-associated",NA,"T4_3m_ERROR","WINE","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13088"
"mgm4624943","wood fall","wood fall","wood","plant-associated",NA,"T4_500m_ERROR","WINE","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13088"
"mgm4625757","wood fall","wood fall","wood","plant-associated",NA,"T1_3m","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13145"
"mgm4625759","wood fall","wood fall","wood","plant-associated",NA,"ERROR","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13145"
"mgm4625760","wood fall","wood fall","wood","plant-associated",NA,"T1_P","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13145"
"mgm4625761","wood fall","wood fall","wood","plant-associated",NA,"T2_3m","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13145"
"mgm4625762","wood fall","wood fall","wood","plant-associated",NA,"T2_500m","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13145"
"mgm4625763","wood fall","wood fall","wood","plant-associated",NA,"T3_3m","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13145"
"mgm4625764","wood fall","wood fall","wood","plant-associated",NA,"T3_500m","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13145"
"mgm4625765","wood fall","wood fall","wood","plant-associated",NA,"T4_3m","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13145"
"mgm4625766","wood fall","wood fall","wood","plant-associated",NA,"T4_500m","WINE1","metagenome","WGS",NA,"France",42.48343,3.128874,"mgp13145"
