"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","project_id"
"mgm4454167","marine salt marsh biome","intertidal zone","biofilm material","microbial mat|biofilm",NA,"Green Berry Assembly","Green Berry Assembly","metagenome","WGS","north america","USA",41.575836,-70.639233,"mgp31391"
"mgm4454183","marine salt marsh biome","intertidal zone","biofilm material","microbial mat|biofilm",NA,"Green Berry 454 Reads","Green_berry_reads","metagenome","WGS","north america","USA",41.575836,-70.639233,"mgp31404"
"mgm4519600","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"G2_1_2_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.691161,-70.821284,"mgp2275"
"mgm4519606","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"G2_3_3_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.691161,-70.821284,"mgp2275"
"mgm4519612","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"G4_1_2_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.6909833333333,-70.8180166666666,"mgp2275"
"mgm4519616","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"G4_2_3_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.6909833333333,-70.8180166666666,"mgp2275"
"mgm4519620","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"G4_3_1_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.6909833333333,-70.8180166666666,"mgp2275"
"mgm4519628","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"R2_1_1_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.707,-70.8622666666666,"mgp2275"
"mgm4519638","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"R3_1_3_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.7110666666666,-70.864,"mgp2275"
"mgm4519644","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"R3_2_1_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.7110666666666,-70.864,"mgp2275"
"mgm4519648","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"R3_3_3_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.7110666666666,-70.864,"mgp2275"
"mgm4519652","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"R4_1_3_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.7252,-70.8549833333333,"mgp2275"
"mgm4519654","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"R4_2_3A_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.7252,-70.8549833333333,"mgp2275"
"mgm4519660","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"R4_3_3_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.7252,-70.8549833333333,"mgp2275"
"mgm4520021","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"G1_1_3_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.6915916666667,-70.8213805555555,"mgp2275"
"mgm4520022","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"G1_2_4_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.6915916666667,-70.8213805555555,"mgp2275"
"mgm4520024","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"G1_3_4rep_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.6915916666667,-70.8213805555555,"mgp2275"
"mgm4520025","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"G3_1_2_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.6912333333333,-70.8199305555556,"mgp2275"
"mgm4520026","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"G3_2_1_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.6912333333333,-70.8199305555556,"mgp2275"
"mgm4520027","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"G3_3_2_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.6912333333333,-70.8199305555556,"mgp2275"
"mgm4520028","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"G5_1_2_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.6914,-70.81375,"mgp2275"
"mgm4520029","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"G5_2_4_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.6914,-70.81375,"mgp2275"
"mgm4520030","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"G5_3_4_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.6914,-70.81375,"mgp2275"
"mgm4520031","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"R1_1_4_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.7017666666667,-70.8656166666667,"mgp2275"
"mgm4520032","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"R1_2_4_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.7017666666667,-70.8656166666667,"mgp2275"
"mgm4520033","marine salt marsh biome","saline marsh","intertidal sediment","sediment",NA,"R1_3_4_merged_remove","IGERT Reverse Ecology 2011-2013","metagenome","WGS","north america","USA",42.7017666666667,-70.8656166666667,"mgp2275"
