"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","PI_lastname","seq_method","biosphere","ecosystem"
"mgm4441205","plant-associated habitat","organic material","plant-associated",NA,"Soybean phyllosphere","phyllosphere microbiota","metagenome","WGS","europe","Switzerland",47.44611,8.68694,"terrestrial biome","mgp2766","host-associated","plant-associated","vorholt","454","terrestrial","plant-associated"
"mgm4447810","plant-associated habitat","organic material","plant-associated",NA,"A.thaliana phyllosphere","phyllosphere microbiota","metagenome","WGS","europe","Spain",41.21333,-4.54556,"terrestrial biome","mgp2766","host-associated","plant-associated","vorholt","454","terrestrial","plant-associated"
"mgm4447811","plant-associated habitat","organic material","plant-associated",NA,"Clover phyllosphere","phyllosphere microbiota","metagenome","WGS","europe","Switzerland",47.44083,8.49833,"terrestrial biome","mgp2766","host-associated","plant-associated","vorholt","454","terrestrial","plant-associated"
"mgm4449956","plant-associated habitat","organic material","plant-associated",NA,"Rice rhizosphere","phyllosphere microbiota","metagenome","WGS","asia","Philippines",14.1387,121.26159,"terrestrial biome","mgp2766","host-associated","plant-associated","vorholt","454","terrestrial","plant-associated"
"mgm4450130","landfill","contaminated soil","soil",NA,"Ctrl_shotgun","rhizosphere","metagenome","WGS","europe","Czech Republic",48.99,14.16,"terrestrial biome","mgp271","free-living","contaminated_soil","paces","454","terrestrial","soil"
"mgm4450131","landfill","contaminated soil","soil",NA,"CtrlF_shotgun","rhizosphere","metagenome","WGS","europe","Czech Republic",48.99,14.16,"terrestrial biome","mgp271","free-living","contaminated_soil","paces","454","terrestrial","soil"
"mgm4450171","landfill","contaminated soil","soil",NA,"Hor_shotgun","rhizosphere","metagenome","WGS","europe","Czech Republic",48.99,14.16,"terrestrial biome","mgp271","free-living","contaminated_soil","paces","454","terrestrial","soil"
"mgm4450172","landfill","contaminated soil","soil",NA,"HorF_shotgun","rhizosphere","metagenome","WGS","europe","Czech Republic",48.99,14.16,"terrestrial biome","mgp271","free-living","contaminated_soil","paces","454","terrestrial","soil"
"mgm4450328","plant-associated habitat","organic material","plant-associated",NA,"Rice phyllosphere","phyllosphere microbiota","metagenome","WGS","asia","Philippines",14.1387,121.26159,"terrestrial biome","mgp2766","host-associated","plant-associated","vorholt","454","terrestrial","plant-associated"
"mgm4450628","landfill","contaminated soil","soil",NA,"Nig_shotgun","rhizosphere","metagenome","WGS","europe","Czech Republic",48.99,14.16,"terrestrial biome","mgp271","free-living","contaminated_soil","paces","454","terrestrial","soil"
"mgm4450629","landfill","contaminated soil","soil",NA,"NigF_shotgun","rhizosphere","metagenome","WGS","europe","Czech Republic",48.99,14.16,"terrestrial biome","mgp271","free-living","contaminated_soil","paces","454","terrestrial","soil"
"mgm4450630","landfill","contaminated soil","soil",NA,"Tob_shotgun","rhizosphere","metagenome","WGS","europe","Czech Republic",48.99,14.16,"terrestrial biome","mgp271","free-living","contaminated_soil","paces","454","terrestrial","soil"
"mgm4450631","landfill","contaminated soil","soil",NA,"TobF_shotgun","rhizosphere","metagenome","WGS","europe","Czech Republic",48.99,14.16,"terrestrial biome","mgp271","free-living","contaminated_soil","paces","454","terrestrial","soil"
"mgm4460639","mammalia-associated habitat","feces","human-gut",NA,"GC_041108","NEC","metagenome","WGS",NA,"USA",41.790269,-87.60407,"terrestrial biome","mgp108","host-associated","human_feces","antonopoulos","illumina","terrestrial","human_host-associated"
"mgm4460641","mammalia-associated habitat","feces","human-gut",NA,"GC_050608","NEC","metagenome","WGS",NA,"USA",41.790269,-87.60407,"terrestrial biome","mgp108","host-associated","human_feces","antonopoulos","illumina","terrestrial","human_host-associated"
"mgm4460642","mammalia-associated habitat","feces","human-gut",NA,"GN_040808","NEC","metagenome","WGS",NA,"USA",41.790269,-87.60407,"terrestrial biome","mgp108","host-associated","human_feces","antonopoulos","illumina","terrestrial","human_host-associated"
"mgm4460644","mammalia-associated habitat","feces","human-gut",NA,"GN_042108","NEC","metagenome","WGS",NA,"USA",41.790269,-87.60407,"terrestrial biome","mgp108","host-associated","human_feces","antonopoulos","illumina","terrestrial","human_host-associated"
"mgm4466148","human-associated habitat","feces","human-gut",NA,"1303","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy","metagenome","WGS","europe","Finland",60.44925,22.2592,"terrestrial biome","mgp265","host-associated","human-gut","ley","illumina","terrestrial","human_host-associated"
"mgm4466149","human-associated habitat","feces","human-gut",NA,"1264","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy","metagenome","WGS","europe","Finland",60.44925,22.2592,"terrestrial biome","mgp265","host-associated","human-gut","ley","illumina","terrestrial","human_host-associated"
"mgm4466163","human-associated habitat","feces","human-gut",NA,"1195","Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy","metagenome","WGS","europe","Finland",60.44925,22.2592,"terrestrial biome","mgp265","host-associated","human-gut","ley","illumina","terrestrial","human_host-associated"
