samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem,Realm,Biome,Functional_group
mgm4527699,industrial wastewate treatment plant,agricultural waste,wastewater|sludge,NA,UKE_Metagenome,POME Metagenome,metagenome,WGS,NA,Malaysia,2,101,cropland biome,mgp5013,free-living,sludge,freshwater,wastewater,Freshwater,Artificial_Wetland  ,Urban_and_industrial_ecosystems
mgm4599960,rhizosphere,agricultural soil,soil,NA,S2_soil_sample_intervened_by_agricultural_processes,Influence of agricultural activities in the structure and metabolic functionality of paramo soil samples in Colombia studied using a metagenomics analysis in dynamic state,metagenome,WGS,NA,Colombia,4.7459722,-75.4441944444444,cropland biome,mgp11299,free-living,rhizosphere,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4754569,area of cropland,soil,soil,NA,part7_all95_discard_nullvalue,project 2,metagenome,WGS,NA,China,33.25,116.55,cropland biome,mgp81253,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4754570,area of cropland,soil,soil,NA,part8_all95_discard_nullvalue,project 2,metagenome,WGS,NA,China,33.25,116.55,cropland biome,mgp81253,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4754571,area of cropland,soil,soil,NA,part6_all95_discard_nullvalue,project 2,metagenome,WGS,NA,China,33.25,116.55,cropland biome,mgp81253,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4754572,area of cropland,soil,soil,NA,part1_all95_discard_nullvalue,project 2,metagenome,WGS,NA,China,33.25,116.55,cropland biome,mgp81253,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4754573,area of cropland,soil,soil,NA,part0_all95_discard_nullvalue,project 2,metagenome,WGS,NA,China,33.25,116.55,cropland biome,mgp81253,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4754574,area of cropland,soil,soil,NA,part3_all95_discard_nullvalue,project 2,metagenome,WGS,NA,China,33.25,116.55,cropland biome,mgp81253,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4754575,area of cropland,soil,soil,NA,part5_all95_discard_nullvalue,project 2,metagenome,WGS,NA,China,33.25,116.55,cropland biome,mgp81253,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4754576,area of cropland,soil,soil,NA,part4_all95_discard_nullvalue,project 2,metagenome,WGS,NA,China,33.25,116.55,cropland biome,mgp81253,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4754577,area of cropland,soil,soil,NA,part9_all95_discard_nullvalue,project 2,metagenome,WGS,NA,China,33.25,116.55,cropland biome,mgp81253,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4754578,area of cropland,soil,soil,NA,part2_all95_discard_nullvalue,project 2,metagenome,WGS,NA,China,33.25,116.55,cropland biome,mgp81253,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502539,field,arable soil,plant-associated,NA,No11-pair.fastq,ISA-SMC-2011,metagenome,WGS,north america,USA,39.59845,-89.7643667,Prairie Division (250),mgp2076,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502540,field,arable soil,plant-associated,NA,No11-sole.fastq,ISA-SMC-2011,metagenome,WGS,north america,USA,39.59845,-89.7643667,Prairie Division (250),mgp2076,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502541,field,arable soil,plant-associated,NA,No7-pair.fastq,ISA-SMC-2011,metagenome,WGS,north america,USA,39.5997833,-89.7643667,Prairie Division (250),mgp2076,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502542,field,arable soil,plant-associated,NA,No7-sole.fastq,ISA-SMC-2011,metagenome,WGS,north america,USA,39.5997833,-89.7643667,Prairie Division (250),mgp2076,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502543,field,arable soil,plant-associated,NA,No77-pair.fastq,ISA-SMC-2011,metagenome,WGS,north america,USA,39.5997833,-89.7643667,Prairie Division (250),mgp2076,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502923,field,arable soil,plant-associated,NA,No1-pair.fastq,ISA-SMC-2011b,metagenome,WGS,north america,USA,38.1980,-89.6276,Prairie Division (250),mgp2205,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502924,field,arable soil,plant-associated,NA,No10-pair.fastq,ISA-SMC-2011b,metagenome,WGS,north america,USA,39.5853,-89.7607167,Prairie Division (250),mgp2205,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502925,field,arable soil,plant-associated,NA,No12-pair.fastq,ISA-SMC-2011b,metagenome,WGS,north america,USA,40.21975,-88.4673667,Prairie Division (250),mgp2205,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502926,field,arable soil,plant-associated,NA,No13-pair.fastq,ISA-SMC-2011b,metagenome,WGS,north america,USA,40.2212833,-88.4665333,Prairie Division (250),mgp2205,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4502927,field,arable soil,plant-associated,NA,No14-pair.fastq,ISA-SMC-2011b,metagenome,WGS,north america,USA,40.0776667,-88.2178667,Prairie Division (250),mgp2205,host-associated,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
