"samples","PI_lastname","latitude","longitude","observations","project_id","project_name","seq_meth","biome","life_style","environment","habitat","sequence_count_raw","average_length_raw","standard_deviation_length_raw","average_gc_content_raw","standard_deviation_gc_content_raw","average_gc_ratio_raw","standard_deviation_gc_ratio_raw","bp_count_preprocessed","sequence_count_preprocessed","average_length_preprocessed","standard_deviation_length_preprocessed","average_gc_content_preprocessed","standard_deviation_gc_content_preprocessed","average_gc_ratio_preprocessed","standard_deviation_gc_ratio_preprocessed","file_size_pos_prinseq","file_size_pos_prodigal","orf_count","args_total_count","bp_count_raw","drop"
"DRR093101","Nealson",38.62,-123.13,"NA","PRJDB2971","The Cedars metagenome","illumina","freshwater","free-living","freshwater","alkaline_environment","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"DRR093102","Nealson",38.62,-123.13,"NA","PRJDB2971","The Cedars metagenome","illumina","freshwater","free-living","freshwater","alkaline_environment","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"DRR093103","Nealson",38.62,-123.13,"NA","PRJDB2971","The Cedars metagenome","illumina","freshwater","free-living","freshwater","alkaline_environment","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"DRR093104","Nealson",38.62,-123.13,"NA","PRJDB2971","The Cedars metagenome","illumina","freshwater","free-living","freshwater","alkaline_environment","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"DRR125227","Fukuda",34.41,135.31,"NA","PRJDB6771","Multi-omics analysis of bioaugmentation with Rhodococcus jostii RHA1","illumina","freshwater","free-living","groundwater","porous_contaminated","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"DRR125228","Fukuda",34.41,135.31,"NA","PRJDB6771","Multi-omics analysis of bioaugmentation with Rhodococcus jostii RHA1","illumina","freshwater","free-living","groundwater","porous_contaminated","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"DRR125229","Fukuda",34.41,135.31,"NA","PRJDB6771","Multi-omics analysis of bioaugmentation with Rhodococcus jostii RHA2","illumina","freshwater","free-living","groundwater","porous_contaminated","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"DRR125230","Fukuda",34.41,135.31,"NA","PRJDB6771","Multi-omics analysis of bioaugmentation with Rhodococcus jostii RHA3","illumina","freshwater","free-living","groundwater","porous_contaminated","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"DRR125231","Fukuda",34.41,135.31,"NA","PRJDB6771","Multi-omics analysis of bioaugmentation with Rhodococcus jostii RHA4","illumina","freshwater","free-living","groundwater","porous_contaminated","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
"ERR1527239","Waite",-34.05,150.98,"NA","PRJEB14718","Metagenomics of a radioactive legacy site","illumina","freshwater","free-living","wastewater","sewage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE"
